[24-Sep-2007 11:10:27] PHP Parse error:  syntax error, unexpected T_CLASS in /var/www/nets-x/app/models/parameter_value.php on line 15
[24-Sep-2007 13:29:26] PHP Parse error:  syntax error, unexpected ';' in /var/www/nets-x/app/controllers/scenarios_controller.php on line 409
[24-Sep-2007 16:40:15] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /var/www/nets-x/app/controllers/scenarios_controller.php on line 423
[24-Sep-2007 16:40:49] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /var/www/nets-x/app/controllers/scenarios_controller.php on line 423
[24-Sep-2007 16:43:54] PHP Parse error:  syntax error, unexpected ')' in /var/www/nets-x/app/controllers/scenarios_controller.php on line 425
[25-Sep-2007 17:11:04] PHP Parse error:  syntax error, unexpected T_STRING, expecting T_VARIABLE in /var/www/nets-x/app/controllers/scenarios_controller.php on line 52
[26-Sep-2007 13:57:43] PHP Fatal error:  Cannot redeclare ScenariosController::_evaluateShellBased() in /var/www/nets-x/app/controllers/scenarios_controller.php on line 576
[26-Sep-2007 14:02:47] PHP Fatal error:  Cannot pass parameter 2 by reference in /var/www/nets-x/app/controllers/scenarios_controller.php on line 414
[26-Sep-2007 14:03:17] PHP Fatal error:  Call to a member function read() on a non-object in /var/www/nets-x/app/views/scenarios/play_comparison_based.ctp on line 3
[27-Sep-2007 09:54:04] PHP Parse error:  syntax error, unexpected T_STRING in /var/www/nets-x/app/views/scenarios/admin_upload_resource_files.ctp on line 27
[27-Sep-2007 11:44:07] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 149
[27-Sep-2007 11:44:31] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 149
[27-Sep-2007 11:46:33] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 149
[27-Sep-2007 11:47:20] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 149
[27-Sep-2007 11:48:23] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 149
[27-Sep-2007 11:57:40] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 152
[27-Sep-2007 11:58:01] PHP Fatal error:  Call to a member function getLog() on a non-object in /var/www/nets-x/app/controllers/attachments_controller.php on line 152
